===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2019-09-02 04:18:35
count workspace : d:\mgr\CILantroTools\cilantro-tools-web-ui
total files : 165
total code lines : 27021
total comment lines : 98
total blank lines : 1338

.gitignore, code is 13, comment is 0, blank is 4.
src\components\filters\CilRunOutcomeFilter.tsx, code is 100, comment is 0, blank is 16.
src\components\filters\CilRunTypeFilter.tsx, code is 93, comment is 0, blank is 14.
src\components\filters\CilStringFilter.tsx, code is 45, comment is 0, blank is 10.
src\components\pages\CilCategoriesPage.tsx, code is 93, comment is 0, blank is 16.
src\components\pages\CilFindTestsPage.tsx, code is 35, comment is 0, blank is 9.
src\components\pages\CilRunsPage.tsx, code is 107, comment is 0, blank is 16.
src\components\pages\CilShowRunPage.tsx, code is 164, comment is 0, blank is 20.
src\components\pages\CilShowTestPage.tsx, code is 297, comment is 0, blank is 41.
src\components\pages\CilTestsPage.tsx, code is 144, comment is 0, blank is 15.
src\components\shared\categories\CilAddCategoryButton.tsx, code is 117, comment is 0, blank is 19.
src\components\shared\categories\CilAddSubcategoryButton.tsx, code is 79, comment is 0, blank is 16.
src\components\shared\categories\CilCategoriesList.tsx, code is 32, comment is 0, blank is 5.
src\components\shared\categories\CilCategoryCard.tsx, code is 115, comment is 0, blank is 9.
src\components\shared\categories\CilDeleteCategoryButton.tsx, code is 34, comment is 0, blank is 9.
src\components\shared\categories\CilDeleteSubcategoryButton.tsx, code is 34, comment is 0, blank is 9.
src\components\shared\runs\CilAddRunButton.tsx, code is 73, comment is 30, blank is 19.
src\components\shared\runs\CilDeleteRunButton.tsx, code is 31, comment is 0, blank is 8.
src\components\shared\runs\CilReplayRunButton.tsx, code is 31, comment is 0, blank is 8.
src\components\shared\runs\CilRunCard.tsx, code is 278, comment is 0, blank is 28.
src\components\shared\runs\CilRunsList.tsx, code is 32, comment is 0, blank is 5.
src\components\shared\runs\CilShowRunButton.tsx, code is 23, comment is 0, blank is 6.
src\components\shared\runs\CilTestRunCard.tsx, code is 292, comment is 0, blank is 24.
src\components\shared\runs\CilTestRunsList.tsx, code is 26, comment is 0, blank is 6.
src\components\shared\tests\CilCreateTestFromTestCandidateButton.tsx, code is 33, comment is 0, blank is 8.
src\components\shared\tests\CilDisableTestButton.tsx, code is 30, comment is 0, blank is 8.
src\components\shared\tests\CilEditTestCategorySelect.tsx, code is 44, comment is 0, blank is 9.
src\components\shared\tests\CilEditTestDisabledReasonTextField.tsx, code is 35, comment is 0, blank is 8.
src\components\shared\tests\CilEditTestHasEmptyInputCheckbox.tsx, code is 28, comment is 0, blank is 8.
src\components\shared\tests\CilEditTestSubcategorySelect.tsx, code is 44, comment is 0, blank is 9.
src\components\shared\tests\CilEnableTestButton.tsx, code is 30, comment is 0, blank is 8.
src\components\shared\tests\CilExecuteTestBothDialog.tsx, code is 246, comment is 0, blank is 20.
src\components\shared\tests\CilExecuteTestDialog.tsx, code is 175, comment is 0, blank is 22.
src\components\shared\tests\CilGenerateTestExeButton.tsx, code is 31, comment is 0, blank is 8.
src\components\shared\tests\CilGenerateTestIlSourcesButton.tsx, code is 31, comment is 0, blank is 8.
src\components\shared\tests\CilRunTestBothButton.tsx, code is 52, comment is 0, blank is 11.
src\components\shared\tests\CilRunTestExeButton.tsx, code is 38, comment is 0, blank is 9.
src\components\shared\tests\CilRunTestInterpreterButton.tsx, code is 54, comment is 0, blank is 11.
src\components\shared\tests\CilShowIlSourcesButton.tsx, code is 85, comment is 0, blank is 11.
src\components\shared\tests\CilShowTestButton.tsx, code is 28, comment is 0, blank is 6.
src\components\shared\tests\CilTestCandidateCard.tsx, code is 30, comment is 0, blank is 7.
src\components\shared\tests\CilTestCandidatesList.tsx, code is 24, comment is 0, blank is 5.
src\components\shared\tests\CilTestCard.tsx, code is 135, comment is 0, blank is 12.
src\components\shared\tests\CilTestChecklist.tsx, code is 94, comment is 0, blank is 12.
src\components\shared\tests\CilTestInputEditor.tsx, code is 296, comment is 0, blank is 40.
src\components\shared\tests\CilTestInputOutputExamplesEditor.tsx, code is 204, comment is 0, blank is 22.
src\components\shared\tests\CilTestOutputEditor.tsx, code is 143, comment is 0, blank is 22.
src\components\shared\tests\CilTestsList.tsx, code is 23, comment is 0, blank is 5.
src\components\utils\CilAddInputOutputElementButton.tsx, code is 629, comment is 0, blank is 59.
src\components\utils\CilCardList.tsx, code is 23, comment is 0, blank is 5.
src\components\utils\CilCodeEditor.tsx, code is 27, comment is 0, blank is 4.
src\components\utils\CilConsole.tsx, code is 177, comment is 0, blank is 21.
src\components\utils\CilDetailsRow.tsx, code is 43, comment is 0, blank is 6.
src\components\utils\CilDetailsValue.tsx, code is 23, comment is 0, blank is 7.
src\components\utils\CilEditableCheckbox.tsx, code is 50, comment is 0, blank is 10.
src\components\utils\CilEditableSelect.tsx, code is 91, comment is 0, blank is 16.
src\components\utils\CilEditableTextField.tsx, code is 60, comment is 0, blank is 12.
src\components\utils\CilExampleInputEditor.tsx, code is 66, comment is 0, blank is 13.
src\components\utils\CilExampleInputElementEditor.tsx, code is 47, comment is 0, blank is 10.
src\components\utils\CilExampleInputLineEditor.tsx, code is 141, comment is 0, blank is 17.
src\components\utils\CilFiltersPanel.tsx, code is 39, comment is 0, blank is 7.
src\components\utils\CilIconButton.tsx, code is 39, comment is 0, blank is 6.
src\components\utils\CilInputOutputEditor.tsx, code is 82, comment is 0, blank is 10.
src\components\utils\CilInputOutputElement.tsx, code is 364, comment is 0, blank is 39.
src\components\utils\CilInputOutputLineEditor.tsx, code is 116, comment is 0, blank is 13.
src\components\utils\CilInputOutputRepeatBlock.tsx, code is 126, comment is 0, blank is 11.
src\components\utils\CilLoading.tsx, code is 24, comment is 0, blank is 5.
src\components\utils\CilOpenFiltersButton.tsx, code is 35, comment is 0, blank is 8.
src\components\utils\CilOrderByDropDown.tsx, code is 57, comment is 0, blank is 11.
src\components\utils\CilPageHeader.tsx, code is 48, comment is 0, blank is 8.
src\components\utils\CilPageSubheader.tsx, code is 9, comment is 0, blank is 4.
src\components\utils\CilPagination.tsx, code is 46, comment is 0, blank is 9.
src\components\utils\CilTimeSpanDisplayer.tsx, code is 19, comment is 0, blank is 5.
src\hooks\external\useNotistack.ts, code is 29, comment is 0, blank is 7.
src\hooks\useExecuteTestHub.ts, code is 69, comment is 0, blank is 19.
src\hooks\useRunningRunHub.ts, code is 52, comment is 0, blank is 17.
src\hooks\useSearch.ts, code is 90, comment is 0, blank is 15.
src\index.tsx, code is 11, comment is 0, blank is 3.
src\react-app-env.d.ts, code is 48, comment is 3, blank is 13.
src\routing\routes.ts, code is 24, comment is 0, blank is 3.
src\styles\styles.ts, code is 4, comment is 0, blank is 1.
src\translations\translations.ts, code is 161, comment is 0, blank is 4.
